,page,date,title,tokenized,action,pair,duration
0,1,2022-04-10,Russia calls for integrating BRICS payment systems,"['russia', 'call', 'integrate', 'brics', 'payment', 'systems']",na,[],fivemin_counter
1,1,2022-04-09,S&P cuts Russia's foreign currency rating to 'selective default',"['&', 'p', 'cut', 'russia', ""'s"", 'foreign', 'currency', 'rat', ""'selective"", 'default', ""'""]",na,[],fivemin_counter
2,1,2022-04-08,Russia relaxes rules on foreign exchange buying as rouble rallies,"['russia', 'relax', 'rule', 'foreign', 'exchange', 'buy', 'rouble', 'rally']",na,[],fivemin_counter
3,1,2022-04-08,Speculators pare back net long U.S. dollar bets in latest week -CFTC Reuters data,"['speculators', 'pare', 'back', 'net', 'long', 'u.s.', 'dollar', 'bet', 'latest', 'week', '-cftc', 'reuters', 'data']",na,['usd'],fivemin_counter
4,1,2022-04-08,U.S. dollar posts largest weekly gain in one month on hawkish Fed messages,"['u.s.', 'dollar', 'post', 'largest', 'weekly', 'gain', 'one', 'month', 'hawkish', 'feed', 'message']",bull,['usd'],fivemin_counter
5,1,2022-04-08,Analysis-Russia's rouble rebound not quite what it seems,"['analysis-russia', ""'s"", 'rouble', 'rebound', 'quite', 'seem']",na,[],fivemin_counter
6,1,2022-04-08,USDCHF reverses earlier gains and trades negative on the day but into support.,"['usdchf', 'reverse', 'earlier', 'gain', 'trade', 'negative', 'day', 'support', '.']",bull,usd/chf,fivemin_counter
7,1,2022-04-08,AUDUSD retracing the declines after finding support near old ceiling from March,"['audusd', 'retrace', 'decline', 'find', 'support', 'near', 'old', 'ceiling', 'march']",bear,aud/usd,fivemin_counter
8,1,2022-04-08,EURUSD jumps. ECB crisis tool talk gives the pair a lift,"['eurusd', 'jump', '.', 'ecb', 'crisis', 'tool', 'talk', 'give', 'pair', 'lift']",na,eur/usd,fivemin_counter
9,1,2022-04-08,USDCAD moves to a new week high and tests its 200 day MA target,"['usdcad', 'move', 'new', 'week', 'high', 'test', '200', 'day', 'target']",bull,usd/cad,fivemin_counter
10,1,2022-04-08,EURUSD trades to a new week low,"['eurusd', 'trade', 'new', 'week', 'low']",bear,eur/usd,fivemin_counter
11,1,2022-04-08,USDJPY moves to a new session high,"['usdjpy', 'move', 'new', 'session', 'high']",bull,usd/jpy,fivemin_counter
12,1,2022-04-08,GBPUSD trades to a new session/week low. Tests lows from March 15,"['gbpusd', 'trade', 'new', 'session/week', 'low', '.', 'test', 'low', 'march', '15']",bear,gbp/usd,fivemin_counter
13,1,2022-04-08,Dollar Edges Higher Climbs to a New Two-Year High,"['dollar', 'edge', 'higher', 'climb', 'new', 'two-year', 'high']",bull,[],fivemin_counter
14,1,2022-04-07,Dollar Up Potentially Tighter U.S. Monetary Policy Continues to Provide Support,"['dollar', 'potentially', 'tighter', 'u.s.', 'monetary', 'policy', 'continue', 'provide', 'support']",na,['usd'],fivemin_counter
15,1,2022-04-07,No peace for emerging market currencies as mighty U.S. dollar reigns Reuters poll,"['peace', 'emerge', 'market', 'currencies', 'mighty', 'u.s.', 'dollar', 'reign', 'reuters', 'poll']",na,['usd'],fivemin_counter
16,1,2022-04-07,ForexLive Asia FX news wrap USD/JPY rejected above 124,"['forexlive', 'asia', 'fx', 'news', 'wrap', 'usd/jpy', 'reject', '124']",na,usd/jpy,fivemin_counter
17,1,2022-04-07,USD/JPY intervention unlikely ahead of 130,"['usd/jpy', 'intervention', 'unlikely', 'ahead', '130']",na,usd/jpy,fivemin_counter
18,1,2022-04-07,U.S. dollar rises but off near two-year peak amid hawkish Fed signals,"['u.s.', 'dollar', 'rise', 'near', 'two-year', 'peak', 'amid', 'hawkish', 'feed', 'signal']",bull,['usd'],fivemin_counter
19,1,2022-04-07,Russia says rouble appreciations poses no threat to fiscal policy,"['russia', 'say', 'rouble', 'appreciations', 'pose', 'threat', 'fiscal', 'policy']",na,[],fivemin_counter
20,1,2022-04-07,USD/JPY popped above 124.00 and has since dropped back to 123.80,"['usd/jpy', 'pop', '124.00', 'since', 'drop', 'back', '123.80']",bear,usd/jpy,fivemin_counter
21,1,2022-04-07,EU approves French scheme to support companies hit by Ukraine war,"['eu', 'approve', 'french', 'scheme', 'support', 'company', 'hit', 'ukraine', 'war']",na,['eur'],fivemin_counter
22,1,2022-04-07,AUDJPY settles between 100 and 200 hour MAs,"['audjpy', 'settle', '100', '200', 'hour', 'mas']",na,aud/jpy,fivemin_counter
23,1,2022-04-07,Ruble Nears Two-Month High Sparks Doubt Over ‘Synthetic’ Rally,"['ruble', 'near', 'two-month', 'high', 'spark', 'doubt', '‘', 'synthetic', '’', 'rally']",bull,[],fivemin_counter
24,1,2022-04-07,Brazil real to keep close to pre-pandemic levels despite feeble economy Reuters poll,"['brazil', 'real', 'keep', 'close', 'pre-pandemic', 'level', 'despite', 'feeble', 'economy', 'reuters', 'poll']",na,[],fivemin_counter
